,店名,类型,地址,评论数,人均,口味,环境,服务,特色菜,经度,纬度
0,珍滋味港式粥火锅(工体店),火锅,工人体育场东路丙2号中国红街3号楼2层里,4725,250,9.2,9,9.2,初始的元贝粥底 鬼马酿油条,116.4445963,39.9309509
1,释·澳门火锅料理(旗舰总店),火锅,农展馆南里克拉斯家居院内,528,248,9.1,9.2,9.3,澳洲和牛M9 招牌猪骨小蹄汤,116.4509101,39.93013903
2,小牛海记潮汕牛肉店(牡丹园店),火锅,花园路中城写字楼2层,6699,103,8.5,8.2,8,原味嫩牛肉 手捶牛肉丸锅底,116.362886,39.97779993
3,官也街澳门火锅(东直门店),火锅,东直门内大街9号NAGA上院,1315,499,9.2,9.1,9,澳门鸡脚猪骨煲 极上雪花牛肉,116.4218224,39.94054865
4,朴氏私家火锅,火锅,黄寺大街15号佰隆大厦4层,825,97,9.1,8.5,8.8,牛蛙火锅 炸馒头片,116.3827445,39.96193013
5,金簋小山城分店,火锅,东直门内大街183号,1736,112,8.1,7.5,7.6,原创馋嘴蛙仔 麻辣小龙虾,116.4170761,39.93984329
6,旬野菜寿喜烧·食放题(望京港旅店),日本菜,湖光中街甲6号港旅大厦一楼,2017,158,8.8,9,8.9,澳洲和牛上脑 寿喜烧,116.4582434,39.99549415
7,满恒记火锅,火锅,平安里西大街14号,16720,93,9.2,8.3,8.7,招牌麻酱糖饼 鲜切羊上脑,116.3615211,39.93081956
8,旬野菜新派日式火锅(方庄店),日本菜,方庄芳星园二区6号楼方庄时代广场5F,1355,164,9,9,8.9,寿喜烧锅底 抹茶杏仁豆腐,116.4292043,39.86412156
9,三味缘牛蛙火锅(官园店),火锅,车公庄南街7天酒店1楼,4247,98,9.1,8.6,9,牛蛙 孜然羊肉,116.3434183,39.92862187
10,桐记小灶儿牛板筋火锅(鼓楼店),火锅,鼓楼西大街甘露胡同2号,2992,114,9,8.3,8.8,香辣牛板筋火锅 香酥泡饼,116.3818856,39.94211017
11,牛串门串串香,火锅,东直门内大街5-7号,2931,90,9,8.6,8.8,话梅牛肉 川椒牛肉,116.423485,39.93987081
12,旬野菜新派日式火锅(东方广场店),日本菜,东长安街一号,2246,157,8.9,9,8.8,寿喜锅 牛上脑,116.4056698,39.90803681
13,聚焦鲜牛肉潮汕火锅,火锅,五圈路总部基地盈坤世纪H座一层,2349,129,9.2,9.3,9.4,手打鲜牛肉丸 吊龙,116.2972502,39.82474763
14,伊豆野菜村(中海环宇荟店),日本菜,安定路5号院6号楼中海环宇荟购物中心3层309-311,1513,153,9,9.1,8.9,牛上脑 牛肩肉,116.3998573,39.97787078
15,香港海梦火锅,火锅,东大桥路8号SOHO尚都北塔B座4层2418,154,223,7.5,7.7,7.2,至尊肥牛 港式鸡脚软骨汤,116.4461533,39.91778592
16,耍牛忙串串香(百子湾店),火锅,百子湾路16号,1604,81,8.6,8.4,7.9,烫锅串串 冷锅串串,116.4808144,39.89953983
17,重八牛府(花乡奥莱店),火锅,南四环西路76号7号楼304,2474,101,9.3,9.2,9.4,重八招牌手打牛丸（鲜肉现打） 嫩牛肉,116.3182064,39.82639387
18,小红袍香港私房火锅料理(王府中环店),火锅,王府井大街王府中环西座408,224,281,9.2,9.2,9,鬼马虾胶 金屋藏娇,116.4049391,39.91495525
19,有面儿串串香火锅(交道口店),火锅,安定门内大街136号,402,83,8.2,7.9,8.5,嫩滑牛肉 麻辣牛肉,116.4023531,39.9436043
20,老北京涮肉(旧鼓楼店),火锅,旧鼓楼大街铃铛胡同25号,681,102,8.5,7.7,7.9,手切鲜羊肉 麻酱,116.3881305,39.94112971
21,第六季自助餐厅(王府井店),自助餐,东安门大街55号,2188,243,9.1,9.2,9.4,基围虾 鲍鱼,116.4012358,39.914397
22,北平三兄弟涮肉(簋街店),火锅,东直门内大街5—6号,6058,120,9.1,9,8.9,鲜羊肉 骨肉相连,116.422844,39.93986997
23,成都葫芦娃一家人火锅(三里屯店),火锅,三里屯工体东路丙2号中国红街3号楼301室,7422,157,9,9.1,8.6,澳招牌洲千层肚 现炸酥肉,116.4445963,39.9309509
24,辣三里火锅(三里屯店),火锅,工人体育场北路三里屯SOHO1号商场5层,133,135,9.1,9.1,9.1,鸳鸯锅底 大脸水牛脆毛肚,116.4479214,39.93153047
25,攀成钢小郡肝串串香,火锅,成府路29号,805,110,9.2,9,9.1,红油锅底 串串香,116.3323612,39.99180537
26,熊也牛店(鼓楼店),日本菜,鼓楼东大街238号临街,5676,173,9.1,9,9,牛肉寿喜锅 宇治抹茶蛋糕,116.3924549,39.93924014
27,行运打边炉(工体店),火锅,工人体育场北路15号VICS旁,381,278,9,8.7,8.5,金牌花胶鸡煲 炸响铃,116.4416534,39.93258108
28,宽板凳老灶火锅(广渠门双井店),火锅,广渠路家乐福东北角,719,113,8.2,8.2,8.3,孜然麻辣牛肉 手工鲜羊肉,116.4681769,39.89245237
29,伊豆野菜村(华润五彩城店),日本菜,清河中街华润五彩城五楼东区L559,465,156,9,9,9,牛肉 寿喜锅,116.3266008,40.02916434
30,111号打邊爐(中关村店),火锅,中关村东路111号,895,127,8.8,8.8,9,金汤花胶鸡煲 手打牛肉丸,116.3272356,39.97113663
31,大利锅记,火锅,望京河荫中路东5号,321,129,9.1,9,9.1,镇店牛尾锅 招牌肥肠鸡锅,116.4767022,39.99525597
32,鲸鱼悦·鱼掌门鱼火锅(上地店),火锅,农大南路海阔信广场2-5号,379,117,9.2,9.1,9.2,整条斑鱼活鱼鲜切 椰子冻,116.3002509,40.02527045
33,鲜牛记潮汕牛肉火锅(亚运村店),火锅,慧忠北路安慧北里雅园1号楼,2206,118,9,8.8,8.9,吊龙 生牛肉丸,116.4061776,39.9971147
34,汕头八合里海记牛肉店(清河店),火锅,G6国道辅路小营桥红绿灯向北300米岔路内西三旗派出所旁,4871,124,9.2,9,8.5,手打牛筋丸 吊龙,116.3352387,40.03771738
35,重八牛府(双榆树店),火锅,双榆树东里15号北京一零一中学西门西行30米,6876,91,9.1,8.5,9.2,重八独家秘制牛丸鸳鸯锅 重八特色小料,116.2978182,39.99962934
36,成都葫芦娃一家人火锅(双井店),火锅,广渠路66号甲3号楼二层,1018,148,9.1,9.2,8.8,美容木瓜番茄锅 水上漂嫩牛肉,116.4584586,39.8900947
37,漫火锅(北京市百货大楼店),火锅,王府井大街255号北京市百货大楼6楼,11846,129,9.1,9.1,9.2,杨枝甘露 海虾,116.4046337,39.91221527
